sentence_index,section,onset,offset,word
0,1,0.0,7.47,当我还只有六岁的时候在一本描写原始森林的名叫真实的故事的书中看到了一幅精彩的插画
1,1,8.02,11.3,画的是一条蟒蛇正在吞食一只大野兽
2,1,12.11,14.07,页头上就是那幅画的摹本
3,1,14.98,22.09,这本书中写道这些蟒蛇把它们的猎获物不加咀嚼地囫囵吞下尔后就不能再动弹了
4,1,22.83,26.22,它们就在长长的六个月的睡眠中消化这些食物
5,1,27.27,30.03,当时我对丛林中的奇遇想得很多
6,1,30.68,34.13,于是我也用彩色铅笔画出了我的第一幅图画
7,1,34.63,37.38,我的第一号作品它是这样的
8,1,38.73,40.74,我把我的这幅杰作拿给大人看
9,1,41.41,44.0,我问他们我的画是不是叫他们害怕
10,1,44.89,49.6,他们回答我说害怕一顶帽子有什么可怕的
11,1,50.55,52.39,我画的不是帽子是
12,1,52.39,54.39,一条巨蟒在消化着一头大象
13,1,55.23,61.97,既然大人们不能够理解于是我又把巨蟒肚子里的情况画了出来以便让大人们能够看懂
14,1,62.7,64.53,这些大人总是需要解释
15,1,65.66,67.56,我的第二号作品是这样的
16,1,68.75,77.91,大人们劝我把这些画着开着肚皮的或闭上肚皮的蟒蛇的图画放在一边还是把兴趣放在地理历史算术语法上
17,1,78.76,83.63,就这样在六岁的那年我就放弃了当画家这一美好的职业
18,1,84.36,87.82,我的第一号第二号作品的不成功使我泄了气
19,1,88.64,93.93,这些大人们靠他们自己什么也弄不懂还得老是不断地给他们做解释
20,1,95.05,97.63,后来我只好选择了另外一个职业
21,1,98.24,99.46,我学会了开飞机
22,1,100.07,101.71,世界各地差不多都飞到过
23,1,102.28,104.78,的确地理学帮了我很大的忙
24,1,105.35,107.7,我一眼就能分辨出中国和亚利桑那
25,1,108.41,110.7,要是夜里迷失了航向这是很有用的
26,1,111.58,115.83,这样在我的生活中我跟许多严肃的人有过很多的接触
27,1,116.45,118.51,我在大人们中间生活过很长时间
28,1,119.25,121.43,我仔细地观察过他们但这
29,1,121.43,124.18,并没有使我对他们的看法有多大的改变
30,1,124.92,132.24,当我遇到一个头脑看来稍微清楚的大人时我就拿出一直保存着的我那第一号作品来测试测试他
31,1,133.03,139.44,我想知道他是否真的有理解能力可是得到的回答总是这是顶帽子
32,1,140.38,144.33,我就不和他谈巨蟒呀原始森林呀或者星星之类的事儿
33,1,144.86,146.27,我只得迁就他的水平
34,1,146.81,150.76,和他们谈些桥牌呀高尔夫球呀政治呀领带呀这些
35,1,151.64,156.02,于是大人们就十分高兴能认识我这样一个通情达理的人
36,1,157.26,158.86,我就这样孤独地生活着
37,1,159.59,161.18,没有一个能真正谈得来的人
38,1,161.77,165.43,一直到六年前在撒哈拉沙漠上发生了那次故障
39,1,166.13,167.98,我的发动机里有个东西损坏了
40,1,168.75,175.31,当时由于我既没有带机械师也没有带旅客我就试图独自完成这个困难的维修工作
41,1,176.16,178.56,这对我来说是个生与死的问题
42,1,179.25,181.7,我随身带的水只够饮用一星期
43,1,182.6,186.15,第一天晚上我就睡在这远离人间烟火的大沙漠上
44,1,186.83,190.54,我比大海中伏在小木排上的遇难者还要孤独得多
45,1,191.57,198.41,而在第二天拂晓当一个奇怪的小声音叫醒我的时候你们可以想见我当时是多么吃惊
46,1,199.34,203.43,这小小的声音说道请你给我画一只羊好吗
47,1,204.3,204.58,啊
48,1,205.46,206.44,给我画一只羊
49,1,207.46,210.66,我像是受到惊雷轰击一般一下子就站立起来
50,1,211.5,213.88,我使劲地揉了揉眼睛仔细地看了看
51,1,214.44,218.33,我看见一个十分奇怪的小家伙严肃地朝我凝眸望着
52,1,219.26,222.14,这是后来我给他画出来的最好的一幅画像
53,1,223.24,227.34,可是我的画当然要比他本人的模样逊色得多
54,1,228.05,229.17,这不是我的过错
55,1,230.47,234.35,六岁时大人们使我对我的画家生涯失去了勇气
56,1,235.03,238.96,除了画过开着肚皮和闭着肚皮的蟒蛇后来再没有学过画
57,1,239.57,243.49,我惊奇地睁大着眼睛看着这突然出现的小家伙
58,1,244.15,248.43,你们不要忘记我当时处在远离人烟千里之外的地方
59,1,248.87,256.59,而这个小家伙给我的印象是他既不像迷了路的样子也没有半点疲乏饥渴惧怕的神情
60,1,257.35,261.36,他丝毫不像是一个迷失在旷无人烟的大沙漠中的孩子
61,1,262.08,268.91,当我在惊讶之中终于又能说出话来的时候对他说道唉你在这儿干什么
62,1,269.84,277.5,可是他却不慌不忙地好像有一件重要的事一般对我重复地说道请给我画一只羊
63,1,278.43,283.25,当一种神秘的东西把你镇住的时候你是不敢不听从它的支配的
64,1,284.03,293.68,在这旷无人烟的沙漠上面临死亡的危险的情况下尽管这样的举动使我感到十分荒诞我还是掏出了一张纸和一支钢笔
65,1,294.48,303.94,这时我却又记起我只学过地理历史算术和语法就有点不大高兴地对小家伙说我不会画画
66,1,304.78,306.41,他回答我说没有
67,1,306.41,308.46,关系给我画一只羊吧
68,1,309.23,313.88,因为我从来没有画过羊我就给他重画我所仅仅会画的两
69,1,313.88,316.19,幅画中的那幅闭着肚皮的巨蟒
70,1,316.96,321.03,不不我听了他的话简直目瞪口呆
71,1,321.66,322.71,我不要蟒蛇
72,1,323.28,326.95,它肚子里还有一头象巨蟒这东西太危险
73,1,327.39,328.81,大象又太占地方
74,1,329.39,330.8,我住的地方非常小
75,1,331.26,332.19,我需要一只羊
76,1,332.81,334.32,给我画一只羊吧
77,1,335.47,336.38,我就给他画了
78,1,337.09,340.44,他专心地看着随后又说我不要
79,1,341.08,343.04,这只羊已经病得很重了
80,1,343.67,344.82,给我重新画一只
81,1,345.76,346.71,我又画了起来
82,1,347.31,349.54,我的这位朋友天真可爱地笑了
83,1,350.39,354.06,你看你画的不是小羊他说
84,1,354.83,357.1,是头公羊还有犄角呢
85,1,358.15,360.28,于是我又重新画了一张
86,1,361.15,363.71,这幅画同前几幅一样又被拒绝了
87,1,364.58,365.73,这一只太老了
88,1,366.26,368.47,我想要一只能活得长的羊
89,1,369.44,370.2,我不耐烦了
90,1,370.71,376.71,因为我急于要检修发动机于是就草草画了这张画并且匆匆地对他说道
91,1,377.8,378.68,这是一只箱子
92,1,379.23,380.55,你要的羊就在里面
93,1,381.59,385.75,这时我十分惊奇地看到我的这位小评判员喜笑颜开
94,1,386.53,389.07,他说这正是我想要的
95,1,389.69,391.96,你说这只羊需要很多草吗
96,1,392.87,393.29,为什么
97,1,394.13,396.39,因为我住的地方一切都非常小
98,1,397.14,400.07,地方小也够喂养它的我说
99,1,400.62,402.94,我给你画的是一只很小的小羊
100,1,403.84,405.29,他把脑袋靠近这张画
101,1,406.22,407.7,并不像你说的那么小
102,1,408.35,408.64,瞧
103,1,409.2,409.87,它睡着了
104,1,410.4,413.42,就这样我认识了小王子
105,1,414.63,417.72,我费了好长时间才弄清楚他是从哪里来的
106,1,418.51,420.61,小王子向我提出了很多问题
107,1,421.12,424.44,可是对我提出的问题他好像压根儿没有听见似的
108,1,425.3,428.47,他无意中吐露的一些话逐渐使我搞清了他的来历
109,1,429.12,431.59,例如当他第一次瞅见我的飞机时
110,1,432.29,433.57,我就不画出我的飞机了
111,1,434.15,435.92,因为这种图画对我来说太复杂
112,1,436.46,439.14,他问我道这是个啥玩意儿
113,1,440.07,440.94,这不是玩意儿
114,1,441.38,441.89,它能飞
115,1,442.5,443.14,这是飞机
116,1,443.43,444.32,是我的飞机
117,1,445.08,447.08,我当时很骄傲地告诉他我能飞
118,1,447.87,451.93,于是他惊奇地说道怎么你是从天上掉下来的
119,1,452.67,454.61,是的我谦逊地答道
120,1,455.1,456.75,啊这真滑稽
121,1,457.71,460.23,此时小王子发出一阵清脆的笑声
122,1,460.9,462.01,这使我很不高兴
123,1,462.64,464.58,我要求别人严肃地对待我的不幸
124,1,465.29,469.1,然后他又说道那么你也是从天上来的了
125,1,469.66,471.23,你是哪个星球上的
126,1,472.27,477.02,即刻对于他是从哪里来的这个秘密我隐约发现到了一点线索
127,1,477.68,481.95,于是我就突然问道你是从另一个星球上来的吗
128,1,482.91,484.27,可是他不回答我的问题
129,1,484.7,489.84,他一面看着我的飞机一面微微地点点头接着说道可不是吗
130,1,490.39,493.63,乘坐这玩意儿你不可能是从很远的地方来的
131,1,494.55,497.43,说到这里他就长时间地陷入沉思之中
132,1,498.08,502.08,然后从口袋里掏出了我画的小羊看着他的宝贝入了神
133,1,502.63,507.48,你们可以想见这种关于别的星球的若明若暗的话语使我心里多么好奇
134,1,508.01,510.86,因此我竭力地想知道其中更多的奥秘
135,1,511.48,513.5,你是从哪里来的我的小家伙
136,1,514.11,515.21,你的家在什么地方
137,1,515.75,517.43,你要把你的小羊带到哪里去
138,1,518.35,525.25,他沉思了一会儿然后回答我说好在有你给我的那只箱子夜晚可以给小羊当房子用
139,1,526.15,529.81,那当然如果你听话的话我再给你画一根绳子
140,1,530.19,531.16,白天可以拴住它
