sentence_index,section,onset,offset,word
0,1,0.113,8.339,once when i was six years old i saw a magnificent picture in a book about the primeval forest called real life stories
1,1,9.247,12.416,it showed a boa constrictor swallowing a wild animal
2,1,13.144,14.464,here is a copy of the drawing
3,1,15.86,23.371,it said in the book boa constrictors swallow their prey whole without chewing then they are not able to move
4,1,23.371,26.339,and they sleep for the six months it takes for digestion
5,1,27.292,30.101,so i thought a lot about the adventures of the jungle
6,1,30.296,36.647,and in turn i managed with a coloured pencil to make my first drawing my drawing number one
7,1,37.186,38.326,it looked like this
8,1,39.608,41.934,i showed my masterpiece to the grownups
9,1,41.934,44.011,and i asked them if my drawing frightened them
10,1,44.39,48.092,they answered me why would anyone be frightened by a hat
11,1,49.13,50.645,my drawing was not of a hat
12,1,51.109,54.232,it showed a boa constrictor digesting an elephant
13,1,55.085,60.093,i then drew the inside of the boa constrictor so that the grownups could understand
14,1,60.612,62.676,they always need to have things explained
15,1,63.594,65.973,my drawing number two looked like this
16,1,67.14,77.391,the grownups advised me to leave aside drawings of boa constrictors open or closed and to apply myself instead to geography history arithmetic and grammar
17,1,78.25399999999999,83.17299999999999,thus i abandoned at the age of six a magnificent career as a painter
18,1,83.71600000000001,88.61,i was discouraged by the failure of my drawing number one and of my drawing number two
19,1,89.054,96.912,grownups never understand anything by themselves and it's tiresome for children to always explain things for them again and again
20,1,97.465,99.805,so i had to choose another profession
21,1,99.805,101.374,and i learned to fly airplanes
22,1,102.267,105.332,i flew a little in many places around the world
23,1,105.332,107.53,and geography it's true has served me well
24,1,108.174,111.568,i could recognize at first glance china from arizona
25,1,111.893,114.057,it's very useful if you get lost at night
26,1,114.725,119.733,i have had during my life a lot of contact with many persons of consequence
27,1,120.152,122.806,i have lived a lot amongst the grownups
28,1,123.19,124.67,i have seen them from close up
29,1,125.363,127.528,it hasnt much improved my opinion of them
30,1,128.361,136.958,whenever i met one of them that seemed a bit more clear sighted i tried the experiment of showing them my drawing number one that i've always kept
31,1,137.526,144.08700000000002,i wanted to know if they were really a person of true understanding but they always responded it's a hat
32,1,145.045,150.833,so i would never speak to them of boa constrictors nor of primeval forests nor of the stars
33,1,151.531,153.056,i put myself at their level
34,1,153.44,157.892,i talked to them about bridge golf politics and neckties
