sentence_index,section,onset,offset,word
0,1,3.05,11.79,lorsque j' avais six ans j' ai vu une fois une magnifique image dans un livre sur la forêt vierge qui s' appelait histoires vécues
1,1,12.64,16.13,ça représentait un serpent boa qui avalait un fauve
2,1,16.72,18.2,voilà la copie du dessin
3,1,19.47,27.52424,on disait dans le livre les serpents boas avalent leur proie tout entière sans la mâcher ensuite ils ne peuvent plus bouger
4,1,27.704903,30.38,et ils dorment pendant les six mois de leur digestion
5,1,32.195161,35.71,j' ai alors beaucoup réfléchi sur les aventures de la jungle
6,1,36.23,44.19,et à mon tour j' ai réussi avec un crayon de couleur à tracer mon premier dessin mon dessin numéro 1
7,1,44.92,45.95,il était comme ça
8,1,47.49,50.0,j' ai montré mon chef -d' oeuvre aux grandes personnes
9,1,50.33,52.92,et je leur ai demandé si mon dessin leur faisait peur
10,1,54.32,57.75,elles m' ont répondu pourquoi un chapeau ferait -il peur
11,1,58.82,60.82,mon dessin ne représentait pas un chapeau
12,1,61.36,64.58,il représentait un serpent boa qui digérait un éléphant
13,1,65.53,70.52,j' ai alors dessiné l' intérieur du serpent boa afin que les grandes personnes puissent comprendre
14,1,71.14,73.6,elles ont toujours besoin d' explications
15,1,74.43,76.69,mon dessin numéro 2 était comme ça
16,1,78.11,89.55,les grandes personnes m' ont conseillé de laisser de côté les dessins de serpents boas ouverts ou fermés et de m' intéresser plutôt à la géographie à l' histoire au calcul et à la grammaire
17,1,90.52,96.07,c' est ainsi que j' ai abandonné à l' âge de six ans une magnifique carrière de peintre
18,1,96.74,102.55,j' avais été découragé par l' insuccès de mon dessin numéro 1 et de mon dessin numéro 2
19,1,103.58,112.06,les grandes personnes ne comprennent jamais rien toutes seules et c' est fatigant pour les enfants de toujours et toujours leur donner des explications
20,1,113.17,115.18,j' ai donc dû choisir un autre métier
21,1,115.58,117.31,et j' ai appris à piloter des avions
22,1,118.31,120.17,j' ai volé un peu partout dans le monde
23,1,120.67,123.72,et la géographie c' est exact m' a beaucoup servi
24,1,124.32,128.44,je savais reconnaître du premier coup d' oeil la chine de l' arizona
25,1,128.98,131.72,c' est très utile si l' on s' est égaré pendant la nuit
26,1,132.87,137.95,j' ai ainsi eu au cours de ma vie des tas de contacts avec des tas de gens sérieux
27,1,138.45,140.81,j' ai beaucoup vécu chez les grandes personnes
28,1,141.01,142.48,je les ai vues de très près
29,1,143.22,145.38,ça n' a pas trop amélioré mon opinion
30,1,146.51,155.46,quand j' en rencontrais une qui me paraissait un peu lucide je faisais l' expérience sur elle de mon dessin numéro 1 que j' ai toujours conservé
31,1,156.11,163.18,je voulais savoir si elle était vraiment compréhensive mais toujours elle me répondait c' est un chapeau
