,word,lemma,onset,offset,section,sentence_index
0,once,once,0.113,0.728,1,0
1,when,when,0.728,0.919,1,0
2,i,i,0.919,1.025,1,0
3,was,was,1.025,1.158,1,0
4,six,six,1.158,1.464,1,0
5,years,years,1.464,1.671,1,0
6,old,old,1.671,1.973,1,0
7,i,i,2.342,2.48,1,0
8,saw,saw,2.48,2.687,1,0
9,a,a,2.687,2.8510000000000004,1,0
10,magnificent,magnificent,2.8510000000000004,3.723,1,0
11,picture,picture,3.723,4.297,1,0
12,in,in,4.297,4.357,1,0
13,a,a,4.357,4.437,1,0
14,book,book,4.437,4.725,1,0
15,about,about,4.725,4.947,1,0
16,the,the,4.947,5.053,1,0
17,primeval,primeval,5.053,5.634,1,0
18,forest,forest,5.634,6.247000000000001,1,0
19,called,called,6.247000000000001,6.827000000000001,1,0
20,real,real,6.827000000000001,7.277,1,0
21,life,life,7.277,7.567,1,0
22,stories,stories,7.567,8.339,1,0
23,it,it,9.247,9.432,1,1
24,showed,showed,9.432,9.755,1,1
25,a,a,9.755,9.812,1,1
26,boa,boa,9.812,10.176,1,1
27,constrictor,constrictor,10.176,10.876,1,1
28,swallowing,swallowing,10.876,11.487,1,1
29,a,a,11.487,11.592,1,1
30,wild,wild,11.592,12.0,1,1
31,animal,animal,12.0,12.416,1,1
32,here,here,13.144,13.344,1,2
33,is,is,13.344,13.469,1,2
34,a,a,13.469,13.509,1,2
35,copy,copy,13.509,13.9,1,2
36,of,of,13.9,13.999,1,2
37,the,the,13.999,14.079,1,2
38,drawing,drawing,14.079,14.464,1,2
39,it,it,15.86,16.023,1,3
40,said,said,16.023,16.264,1,3
41,in,in,16.264,16.365,1,3
42,the,the,16.365,16.437,1,3
43,book,book,16.437,16.755,1,3
44,boa,boa,17.219,17.584,1,3
45,constrictors,constrictors,17.584,18.322,1,3
46,swallow,swallow,18.322,18.812,1,3
47,their,their,18.812,18.984,1,3
48,prey,prey,18.984,19.458,1,3
49,whole,whole,19.458,19.913,1,3
50,without,without,19.913,20.334,1,3
51,chewing,chewing,20.334,20.902,1,3
52,then,then,21.561,21.876,1,3
53,they,they,21.876,22.006,1,3
54,are,are,22.006,22.106,1,3
55,not,not,22.106,22.306,1,3
56,able,able,22.306,22.566,1,3
57,to,to,22.566,22.706,1,3
58,move,move,22.706,23.371,1,3
59,and,and,23.371,23.626,1,4
60,they,they,23.626,23.745,1,4
61,sleep,sleep,23.745,24.149,1,4
62,for,for,24.149,24.256,1,4
63,the,the,24.256,24.356,1,4
64,six,six,24.356,24.786,1,4
65,months,months,24.786,25.135,1,4
66,it,it,25.135,25.226,1,4
67,takes,takes,25.226,25.496,1,4
68,for,for,25.496,25.606,1,4
69,digestion,digestion,25.606,26.339,1,4
70,so,so,27.292,27.777,1,5
71,i,i,27.777,27.887,1,5
72,thought,thought,27.887,28.167,1,5
73,a,a,28.167,28.266,1,5
74,lot,lot,28.266,28.487,1,5
75,about,about,28.487,28.737,1,5
76,the,the,28.737,28.854,1,5
77,adventures,adventures,28.854,29.387,1,5
78,of,of,29.387,29.474,1,5
79,the,the,29.474,29.587,1,5
80,jungle,jungle,29.587,30.101,1,5
81,and,and,30.296,30.548,1,6
82,in,in,30.548,30.734,1,6
83,turn,turn,30.734,31.394,1,6
84,i,i,31.394,31.6,1,6
85,managed,managed,31.6,32.13,1,6
86,with,with,32.13,32.231,1,6
87,a,a,32.231,32.286,1,6
88,coloured,colored,32.286,32.6,1,6
89,pencil,pencil,32.6,33.125,1,6
90,to,to,33.399,33.524,1,6
91,make,make,33.524,33.764,1,6
92,my,my,33.764,34.034,1,6
93,first,first,34.034,34.414,1,6
94,drawing,drawing,34.414,34.824,1,6
95,my,my,35.258,35.463,1,6
96,drawing,drawing,35.463,35.876,1,6
97,number,number,35.876,36.363,1,6
98,one,one,36.363,36.647,1,6
99,it,it,37.186,37.311,1,7
100,looked,looked,37.311,37.631,1,7
101,like,like,37.631,37.891,1,7
102,this,this,37.891,38.326,1,7
103,i,i,39.608,39.791,1,8
104,showed,showed,39.791,40.103,1,8
105,my,my,40.103,40.273,1,8
106,masterpiece,masterpiece,40.273,40.943000000000005,1,8
107,to,to,40.943000000000005,41.053,1,8
108,the,the,41.053,41.113,1,8
109,grownups,grownups,41.113,41.934,1,8
110,and,and,41.934,42.083,1,9
111,i,i,42.083,42.243,1,9
112,asked,asked,42.243,42.613,1,9
113,them,them,42.613,42.729,1,9
114,if,if,42.729,42.838,1,9
115,my,my,42.838,43.024,1,9
116,drawing,drawing,43.024,43.346,1,9
117,frightened,frightened,43.346,43.793,1,9
